Trip ID,Pickup Time,Drop Off Time,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,Surge Fee,Vehicle,Payment_type
1,01-06-2024 00:42,01-06-2024 01:04,1,5.6,79,226,19.5,2,UberX,Uber Pay
2,01-06-2024 00:06,01-06-2024 00:13,1,1.72,142,186,8,0,Uber Black,Cash
3,01-06-2024 00:08,01-06-2024 00:21,1,3.41,229,238,13,0,Uber Black,Cash
4,01-06-2024 00:28,01-06-2024 00:37,1,1.81,188,35,9,0,UberX,Cash
5,01-06-2024 00:38,01-06-2024 00:45,1,1.89,100,137,8,0,Uber Black,Cash
6,01-06-2024 00:06,01-06-2024 00:22,6,3.29,41,143,14,0,UberX,Cash
7,01-06-2024 00:40,01-06-2024 00:48,2,2.05,142,141,8.5,0,UberX,Cash
8,01-06-2024 00:32,01-06-2024 00:42,2,3.54,48,75,12.5,0,Uber Comfort,Cash
9,01-06-2024 00:20,01-06-2024 00:23,1,1.1,48,246,5.5,0,Uber Green,Cash
10,01-06-2024 00:54,01-06-2024 01:03,2,1.9,140,230,9,2.55,UberX,Uber Pay
11,01-06-2024 00:18,01-06-2024 00:37,1,6.66,48,42,22,6.45,UberXL,Uber Pay
12,01-06-2024 00:17,01-06-2024 00:40,2,13.12,137,182,36.5,0,Uber Comfort,Uber Pay
13,01-06-2024 00:00,01-06-2024 00:31,1,12.59,132,189,37,0,Uber Green,Cash
14,01-06-2024 00:21,01-06-2024 00:25,1,1.1,48,142,5.5,0,UberXL,Cash
15,01-06-2024 00:29,01-06-2024 00:48,1,9,166,148,27,0,UberX,Cash
16,01-06-2024 00:46,01-06-2024 00:53,1,2.12,137,140,8,2.36,Uber Black,Uber Pay
17,01-06-2024 00:46,01-06-2024 00:58,1,3,163,79,12,1,UberXL,Uber Pay
18,01-06-2024 00:14,01-06-2024 00:25,1,3.1,114,209,11.5,3.05,Uber Comfort,Uber Pay
19,01-06-2024 00:42,01-06-2024 01:01,1,5.63,80,170,19,2.28,UberXL,Uber Pay
20,01-06-2024 00:20,01-06-2024 00:25,1,1.53,48,234,6.5,2.06,Uber Green,Uber Pay
21,01-06-2024 00:44,01-06-2024 00:54,1,1.7,97,189,8.5,0,Uber Comfort,Cash
22,01-06-2024 00:04,01-06-2024 00:25,1,5.8,186,255,19.5,6,UberXL,Uber Pay
23,01-06-2024 00:50,01-06-2024 01:00,1,2.5,186,114,10.5,0,Uber Comfort,Uber Pay
24,01-06-2024 00:03,01-06-2024 00:23,1,4.59,48,209,17,4.16,Uber Comfort,Uber Pay
26,01-06-2024 00:02,01-06-2024 00:10,1,1.08,79,107,7,0,UberX,Cash
27,01-06-2024 00:11,01-06-2024 00:16,1,1.9,48,158,7,0,Uber Green,Cash
28,01-06-2024 00:42,01-06-2024 01:08,1,8.18,137,61,27,6.16,UberX,Uber Pay
29,01-06-2024 00:23,01-06-2024 00:37,1,6.54,137,25,20.5,3,UberXL,Uber Pay
30,01-06-2024 00:20,01-06-2024 00:36,6,3.68,140,68,14,5,UberXL,Uber Pay
31,01-06-2024 00:17,01-06-2024 00:26,1,1.9,170,148,8.5,0,UberX,Cash
32,01-06-2024 01:08,01-06-2024 01:17,1,2.4,75,42,9,0,UberXL,Cash
33,01-06-2024 01:23,01-06-2024 01:38,1,7.5,151,153,22.5,0,UberX,Uber Pay
34,01-06-2024 01:19,01-06-2024 01:30,1,1.87,238,152,9.5,0,Uber Green,Cash
35,01-06-2024 01:22,01-06-2024 01:52,2,7.91,100,116,24.5,0,UberXL,Cash
36,01-06-2024 01:13,01-06-2024 01:31,1,5.3,161,74,18,0,UberX,Uber Pay
37,01-06-2024 01:32,01-06-2024 01:55,1,3.4,48,231,16.5,0,Uber Black,Cash
38,01-06-2024 01:25,01-06-2024 01:34,2,2.33,238,74,9.5,0,UberX,Cash
39,01-06-2024 01:08,01-06-2024 01:15,1,1.6,193,145,8,0,UberX,Cash
40,01-06-2024 01:05,01-06-2024 01:17,1,4.3,170,74,13.5,3.45,UberX,Uber Pay
41,01-06-2024 01:39,01-06-2024 01:48,1,2.53,151,116,10,0,Uber Comfort,Cash
42,01-06-2024 01:13,01-06-2024 01:24,1,4.8,137,217,15.5,0,Uber Black,Cash
43,01-06-2024 01:43,01-06-2024 02:01,1,7.5,249,166,23.5,0,UberX,Amazon Pay
